,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Group,Passenger,FirstName,LastName,Deck,Number,Side,InGroup,InFamily
0,0001_01,Europa,FALSE,B/0/P,TRAPPIST-1e,39,FALSE,0,0,0,0,0,Maham Ofracculy,0,1,1,Maham,Ofracculy,B,0,P,FALSE,FALSE
1,0002_01,Earth,FALSE,F/0/S,TRAPPIST-1e,24,FALSE,109,9,25,549,44,Juanna Vines,1,2,1,Juanna,Vines,F,0,S,FALSE,FALSE
2,0003_01,Europa,FALSE,A/0/S,TRAPPIST-1e,58,TRUE,43,3576,0,6715,49,Altark Susent,0,3,1,Altark,Susent,A,0,S,TRUE,TRUE
3,0003_02,Europa,FALSE,A/0/S,TRAPPIST-1e,33,FALSE,0,1283,371,3329,193,Solam Susent,0,3,2,Solam,Susent,A,0,S,TRUE,TRUE
4,0004_01,Earth,FALSE,F/1/S,TRAPPIST-1e,16,FALSE,303,70,151,565,2,Willy Santantines,1,4,1,Willy,Santantines,F,1,S,FALSE,FALSE
5,0005_01,Earth,FALSE,F/0/P,PSO J318.5-22,44,FALSE,0,483,0,291,0,Sandie Hinetthews,1,5,1,Sandie,Hinetthews,F,0,P,FALSE,FALSE
6,0006_01,Earth,FALSE,F/2/S,TRAPPIST-1e,26,FALSE,42,1539,3,0,0,Billex Jacostaffey,1,6,1,Billex,Jacostaffey,F,2,S,TRUE,TRUE
7,0006_02,Earth,TRUE,G/0/S,TRAPPIST-1e,28,FALSE,0,0,0,0,,Candra Jacostaffey,1,6,2,Candra,Jacostaffey,G,0,S,TRUE,TRUE
8,0007_01,Earth,FALSE,F/3/S,TRAPPIST-1e,35,FALSE,0,785,17,216,0,Andona Beston,1,7,1,Andona,Beston,F,3,S,FALSE,FALSE
9,0008_01,Europa,TRUE,B/1/P,55 Cancri e,14,FALSE,0,0,0,0,0,Erraiam Flatic,1,8,1,Erraiam,Flatic,B,1,P,TRUE,TRUE
10,0008_02,Europa,TRUE,B/1/P,TRAPPIST-1e,34,FALSE,0,0,,0,0,Altardr Flatic,1,8,2,Altardr,Flatic,B,1,P,TRUE,TRUE
11,0008_03,Europa,FALSE,B/1/P,55 Cancri e,45,FALSE,39,7295,589,110,124,Wezena Flatic,1,8,3,Wezena,Flatic,B,1,P,TRUE,TRUE
12,0009_01,Mars,FALSE,F/1/P,TRAPPIST-1e,32,FALSE,73,0,1123,0,113,Berers Barne,1,9,1,Berers,Barne,F,1,P,FALSE,FALSE
13,0010_01,Earth,FALSE,G/1/S,TRAPPIST-1e,48,FALSE,719,1,65,0,24,Reney Baketton,0,10,1,Reney,Baketton,G,1,S,FALSE,FALSE
14,0011_01,Earth,FALSE,F/2/P,TRAPPIST-1e,28,FALSE,8,974,12,2,7,Elle Bertsontry,1,11,1,Elle,Bertsontry,F,2,P,FALSE,FALSE
15,0012_01,Earth,FALSE,,TRAPPIST-1e,31,FALSE,32,0,876,0,0,Justie Pooles,0,12,1,Justie,Pooles,,,,FALSE,FALSE
16,0014_01,Mars,FALSE,F/3/P,55 Cancri e,27,FALSE,1286,122,,0,0,Flats Eccle,0,14,1,Flats,Eccle,F,3,P,FALSE,FALSE
17,0015_01,Earth,FALSE,F/4/P,55 Cancri e,24,FALSE,0,1,0,0,637,Carry Hughriend,0,15,1,Carry,Hughriend,F,4,P,FALSE,FALSE
18,0016_01,Mars,TRUE,F/5/P,TRAPPIST-1e,45,FALSE,0,0,0,0,0,Alus Upead,1,16,1,Alus,Upead,F,5,P,FALSE,FALSE
19,0017_01,Earth,FALSE,G/0/P,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Lyde Brighttt,1,17,1,Lyde,Brighttt,G,0,P,TRUE,TRUE
20,0017_02,Earth,FALSE,F/6/P,55 Cancri e,14,FALSE,412,0,1,0,679,Philda Brighttt,0,17,2,Philda,Brighttt,F,6,P,TRUE,TRUE
21,0020_01,Earth,TRUE,E/0/S,TRAPPIST-1e,1,FALSE,0,0,0,0,0,Almary Brantuarez,0,20,1,Almary,Brantuarez,E,0,S,TRUE,TRUE
22,0020_02,Earth,TRUE,E/0/S,55 Cancri e,49,FALSE,0,0,0,0,0,Glendy Brantuarez,0,20,2,Glendy,Brantuarez,E,0,S,TRUE,TRUE
